url,title,address,datetime,description
https://www.eventbrite.sg/e/echelon-asia-summit-2019-tickets-55274243751?aff=ebdssbdestsearch,Echelon Asia Summit 2019,"Hall 3A, Singapore Expo, Singapore","Thu, May 23, 9:00am","One event. A lifetime's worth of opportunities. Echelon Asia Summit 2019 will bring together 15,000 of the best of APAC's tech ecosystem for two days of sharing insight, building connections, and discovering opportunities. Get fresh insight With our 3 stages - Future Stage, Founder Stage, and the newly introduced Capital Stage - you will get the chance to find out what APAC's thought leaders and experts have to say about what awaits the tech scene of the region, learn from top founders, and discover opportunities and insight from active stakeholders in the investment space. You also have the chance to strengthen your startup knowledge foundation with a series of classroom-styled exclusive content covering 101s on leadership, marketing, business models and market access topics. Meet the region's up-and-coming startups Get the chance to watch 100 startups pitch their way to become the grand winner of TOP100 APAC 2019, e27's annual regional startup competition. Plug in to APAC's tech scene Step out of your cave and meet the best and brightest of APAC's tech community. With 200+ exhibitors and 15,000 attendees, you have endless opportunities to network, mingle, and build amazing relationships. Meet the one (or more) Looking for a partner? We have a speed dating for startups looking for the right investor to take their company to the next level. Corporate who are looking for partners to innovate their business also have the opportunity to get matched to a concept-ready startup. Be part of the Echelon Community. Get your tickets today and follow the #Echelon2019 journey! For more details: Website - Echelon Asia Summit 2019 Want to join TOP100 APAC 2019? Register today"
https://www.eventbrite.sg/e/aia-glow-festival-2019-tickets-56391151452?aff=ebdssbdestsearch,AIA GLOW FESTIVAL 2019,"Palawan Green, Sentosa Island, Singapore","Sat, May 25, 7:30am","THE ULTIMATE FESTIVAL TO UNWIND Life is hectic enough without the need for any more madness. And we hear you. Experience a new state of mind with us as you hit the reset button on life. Sometimes all we need is a little ""Me Time"", and we've got you covered. Reset - Refresh - Recharge Unwind your way. From YOGA for all levels, amazing live MUSIC, a 5km charity fun RUN and mouthwatering festival FEASTS - do one, pick some or try them all. It's all about the feel good vibes at Glow. Because when you feel good, everything else will follow. Festival ticket starts from SGD$19. TICKET INFORMATION TYPES OF PASSES [SOLD OUT] ALL DAY PASS - $99 This is the ultimate festival experience. An All Day Pass allows you to participate in everything we have to offer at the festival including unlimited yoga classes (available on a first-come-first-serve basis), 1 Celebrity Yoga session and the 5k Fun Run as well as ending the night with our music acts. Receive an AIA Glow Festival Bandana and Water Bottle together with $10 Credits for you to feast on the variety of food available at our marketplace. Note: All Celebrity Mass Yoga sessions have been sold out. If you are not ready for a full day experience, you can also create-your-own with the following passes: [SOLD OUT] CELEBRITY MASS YOGA PASS - $29 per class Join our celebrity yogi’s in a session and if you like what you see at our festival, feel free to participate in more. You'll also receive a AIA Glow Festival Bandana. Note: Only Rise and Shine with Marysia Do is available. All other Celebrity Mass Yoga sessions have been sold out. [SOLD OUT] YOGA CLASS PASS - $19 per class Explore 22 different styles of yoga for all standards. Try one and you’ll be wanting more. You'll also receive a AIA Glow Festival Bandana. [SOLD OUT] 5K FUN RUN PASS - $20 Your chance to do good and feel great. Complete the 5km Charity Fun Run and $10 will be donated to children in need at the Children's Wishing Well. And you'll get the coolest ""Ran With My Heart"" medal and festival bandana. Enjoy a beautiful scenic run along Siloso and Palawan beach with your friends and like-minded caring people, and expect lots of fun surprises from our interactive zones along the route. MUSIC PASS - $59 Catch our music acts in style with a super cool AIA Glow Festival Bandana you’ll receive with every ticket purchased. Lined up for the evening, we’ve got stellar performances from acts like Lost Frequencies, Rudimental, Nina Nesbitt and local stalwarts The Sam Willows. HELP? Visit glowfestival.sg for more event and ticket information, or reach out to us via email at hello@glowfestival.sg or send us a friendly message on our Facebook page."
https://www.eventbrite.com/e/joey-yaps-grow-rich-with-bazi-live-2019-tickets-59422919552?aff=ebdssbdestsearch,Joey Yap's Grow Rich with BaZi Live 2019,"Singapore Expo, Hall 2, Singapore","Sat, Jun 22, 10:00am","Take charge of your destiny and use exclusive insights to design a road map that will lead you to your financial edge in life. Use the Grow Rich with BaZi 2019, design the Destiny Code in your life and create the future you desire together with the one and only - Dato' Joey Yap. This LIVE event promises a whole new level of learning and is designed to cement your proficiency, understanding, and thoroughness of the subject. This is going to bring you top-notch BaZi experience where you're able to make accurate readings to make critical decisions. You’ll not only get to meet Joey and the team up close but you also get to meet the coaches and other respectable experts whom each bring something to the table. You’ll also be joined by other students from around the world, allowing you to meet like-minded individuals, exchange ideas and form bonds that will last a lifetime. Be there or be square!"
https://www.eventbrite.sg/e/revoilution-wellness-expo-2019-tickets-59038631135?aff=ebdssbdestsearch,RevOILution Wellness Expo 2019,"Marina Bay Sands Expo & Convention Centre Exhibition Hall B, Singapore","Sat, May 25, 9:00am","In celebration of our 25 Years of leading the modern essential oils movement, RevOILution Wellness Expo 2019 is set to welcome visitors with a warm, light-hearted care-nival aimed at helping families embark on a holistic wellness journey. Themed “Families First”, visitors can expect two days of fun activities and educational discoveries – from fitness and lifestyle workshops, to learning more about the benefits of essential oils, to culinary demonstrations, exciting games and a whole lot more! In addition, visitors can get body composition check and experience our unique Raindrop massage technique while kids can play their hearts out at our Young Living Kids' Haven! So save the date and see you at the RevOILution Wellness Expo 2019! Register your interest via Eventbrite to attend RevOILution Wellness Expo 2019 by May 24, 2019 before 6 p.m. and receive a Citrus Fresh 5ml essential oil (worth $16.89) FREE*! ------------------------------------------------------------------------------------------------------------------------------------------------------ Terms & Conditions - Free Citrus Fresh 5ml essential oil is only valid for visitors who pre-registered for and attend the RevOILution Wellness Expo 2019. - Registrant must be at least 18 years old to be eligible to register and redeem the Welcome Gift. - Eventbrite ticket and Identification Card are required for verification during redemption. Name on Identification Card must match the name on the ticket. - Free Citrus Fresh 5ml essential oil can only be redeemed at the Registration Counter at the RevOILution Wellness Expo from 9am - 7pm on May 25 - 26, 2019. - Each registrant is entitled to ONE (1) Free Citrus Fresh 5ml essential oil only. - Redemption on behalf of others is not allowed. - The first 5,000 registrants who attend the event will also receive a goodie bag. First-come-first-serve basis only while stocks last."
https://www.eventbrite.sg/e/singlang-concert-sing2019-tickets-61285980016?aff=ebdssbdestsearch,Sing•Lang Concert “Sing·?”???2019,"Singapore Sports Hub, Singapore","Sat, Jun 15, 7:30pm","Back by popular demand, the Sing.Lang Concert is moving to a larger venue this year!"
https://www.eventbrite.sg/e/plug-and-play-apac-summit-tickets-60105497160?aff=ebdssbdestsearch,Plug and Play APAC Summit,"Marina Bay Sands Singapore, Singapore","Wed, May 29, 9:00am","We are excited to bring to you our first ever Plug and Play APAC Summit out of Singapore on the 29th of May 2019. This conference hosted by Plug and Play Asia Pacific looks to host hundreds of executives from our Corporate network, best of tier Startups focusing on innovation, and some of the brightest minds and researchers in the region. For this invitation-only full day conference, we look to explore what is next in Fintech, Insurtech, Mobility, Travel, and Supply Chain. The day will be packed with Keynotes, Panel Discussions between industry leaders and startup pitches. Please register your interest with us here to secure your spot before tickets run out."
https://www.eventbrite.sg/e/singapore-mindfulness-conference-2019-aug-24-25-2-days-tickets-57147398407?aff=ebdssbdestsearch,SINGAPORE MINDFULNESS CONFERENCE 2019 Aug 24-25 (2 days),"University Cultural Centre, Singapore","Sat, Aug 24, 9:30am","Mind-Body Medicine, Behavioural Transformation & Neuroplasticity Learn how mindfulness can enhance your personal performance, relieve pain, reduce depression, anxiety and slow down ageing. 60% discount off the normal conference pass for ONE WEEK only till 25 May 2019 with promo code ""VESAK"". Apply the code after you click the Tickets button. Guest of Honour: Dr Amy Khor Senior Minister of State, Ministry of Health Keynote Speakers: Prof. Hong Choon Chua serves as the Chief Executive Officer of Institute of Mental Health/Woodbridge Hospital at National Healthcare Group Pte Ltd. His teaching and research interest are in Psychiatric Epidemiology, Depression & Mood Disorders, Quality Improvement & Patient Safety in Mental Health. Day 1 Keynote: Confronting The Stigma Of Mental Illness Keynote: Confronting the Stigma of Mental Health Dr Fadel Zeidan, a cognitive neuroscientist, is the Director of University of California San Diego Brain Mechanisms of Pain & Health Lab. In 2014, the United States NIH Pain Consortium awarded A/Prof Zeidan the Mitchell Max Award for Research Excellence. Day 1 Keynote: Mindfulness: A Different Approach To Pain Management Day 2 Keynote: Cognitive Neuroscience - Changing Our Understanding Of The Brain Dr Ruchika Prakash, a neuropsychologist, is the Director Ohio State University Clinical Neuroscience Laboratory and Associate Director of the Center for Cognitive and Behavioural Brain Imaging. She received the “Rising Star Designation” given by the Association for Psychological Science in 2013 and the Springer Early Career Achievement in Research on Adult Development and Ageing by American Psychological Association in 2016. Keynote: Effects Of Mindfulness Training On The Ageing Brain Dr. Ruth Wolever, a clinical health psychologist, is an Associate Professor of Physical Medicine & Rehabilitation at Vanderbilt University Medical Center, Department of Psychiatry & Behavioral Sciences and the School of Nursing. Her research focuses on mindfulness-based approaches to self-regulation and lifestyle change for those with, or at elevated risk for, diabetes, heart disease, insomnia, tinnitus, chronic pain and other stress-related disorders. She has published a book on ""The Mindful Diet"" Keynote: Reducing The Risks Of Stress Related Diseases And Disorders PROGRAM TIMINGS (Program details subject to adjustments, will be published in June 2019) Day 1 9.30am Opening and Guest of Honour Welcome Speech 10am Keynote Session 12pm Lunch 1:15pm Session 1 (2 tracks) 3:30pm Break 4pm Session 2 (2 tracks) Day 2 9.30am Session 3 (2 tracks) 11.45am Lunch 1.15pm Session 4 (2 tracks) 2:45pm Break 3:15pm Keynote Session Minimum Age Primary 6 and above For more info For more information, including the complete list of speakers to date, please visit www.brahmcentre.com/smc2019. Conference passes are transferable but NON-refundable Co-Organisers: Partners:"
https://www.eventbrite.com/e/ats-singapore-2019-tickets-47809623872?aff=ebdssbdestsearch,ATS Singapore 2019,Marina Bay Sands,"Mon, Jun 24, 9:00am","ATS Singapore - Monday June 24, & Tuesday June 25 2019! ATS Singapore returns to the Marina Mandarin for an extended two day programme on Monday, June 24 and Tuesday, June 25. Featuring one of the largest audiences of programmatic advertising and marketing technology industry experts, in the region, ATS Singapore 2019 will focus on the key issues effecting the industry. ATS Singapore is a full industry ecosystem event, providing attendees with the opportunity to learn, network, and discuss the challenges facing the programmatic advertising and marketing technology industry today. Hosted by ExchangeWire - an independent voice for the industry - this event aims to grasp the issues of most importance; question and debate those in an honest and unbiased way; and push the industry to look to the future and move forward from some of the most difficult challenges and pain points. Who should attend ATS Singapore? Industry professionals with a working knowledge and understanding of programmatic and data-driven advertising and marketing technology tools and tactics, from: » Agencies » Publishers » Advertisers » Mar-tech vendors » Trading Specialists » Ad Exchanges » Ad Networks & Sales Houses » Ad Servers » Infrastructure & Development Providers » Tools & Apps Developers » Ad-Tech Vendors » Data Solution Providers & Data Platforms Never attended an ExchangeWire event before? To give you a flavour of what you can expect, take a look at some footage on TraderTalkTV https://www.exchangewire.com/tradertalk/ * Tickets are non refundable. We will happily transfer the cost of the ticket to another ExchangeWire event or alternatively transfer the ticket to a colleague."
https://www.eventbrite.com/e/event-tech-show-asia-pacific-2019-tickets-55103906267?aff=ebdssbdestsearch,Event Tech Show Asia Pacific 2019,"Zouk Singapore, Singapore","Thu, May 30, 1:00pm","ABOUT ETS 2019 Expectations for events have become greater more than ever. Event planners have gone beyond just meeting the events’ objectives, but constantly seek means to bring new, bold and unique elements into each of their creations. As they continue to innovate and deliver unforgettable event experiences, we also observe the emergence of game-changing event technologies across the spectrum in response to these prevailing needs. Considering the crucial role that technology plays in the event industry, Avenevv introduced Event Tech Show (ETS) as the first event technology exhibition organised in Asia Pacific, in conjunction with our commercial launch. Through ETS, we hope to showcase the latest and most inspiring event technologies across the world to event planners, agencies and any event enthusiasts in Asia Pacific. For more information, please visit https://www.eventtechshow.com/ THE LIVING LAB CONCEPT Inspired by the Living Lab Concept, we work closely with our event sponsors and exhibitors to co-create and curate the best event experiences for you. All of us at Avenevv and our partners hope to provide our attendees with a highly immersive and interactive experience, gain new perspectives about the boundless event possibilities and elevate expectations for event quality to new heights. AGENDA 01:00 PM - 02:00 PM: Registration 02:00 PM - 02:10 PM: Opening Address 02:10 PM - 02:45 PM: Panel Discussion 1 02:45 PM - 03:00 PM: Avenevv Launch and Live Demonstration 03:00 PM - 03:35 PM: Panel Discussion 2 03:35 PM - 04:40 PM: Virtual Live Tour 03:35 PM - 06:00 PM: Live Demonstration by selected Tech Exhibitors PANEL DISCUSSION Panel Discussion 1: The Proliferation of Event Technology - Resolving Operational and Management Challenges Panelists: Mr. Poh Chi Chuan, Director of Digital Transformation Division at Singapore Tourism Board Mr Henry Ong, Senior Account Manager at Pacific World Meetings & Events Singapore Pte Ltd Mr. Hugh Yii, Managing Director at Festival Square Circle Pte Ltd (Moderator) The advent of technology has significantly challenged the traditional event planning processes, workflows and protocols. As the application of technology in the event industry proliferates, it is also rapidly shaping our event planning landscape by enabling organisers to automate tasks, streamline operations and increase productivity. Gaining insights into the different event operational challenges, as well as use cases of how technology could be a solution in response to these challenges, is the first step for us towards greater efficiency in event planning and execution. Panel Discussion 2: The Proliferation of Event Technology - Deepening Engagement and Driving Creativity Panelists: Mr. Alex Phua, Finance Director at Zouk Consulting Ms. Belinda Ang, Executive Director at thinkBig Communications Pte. Ltd Mr. Hugh Yii, Managing Director at Festival Square Circle Pte Ltd (Moderator) The Event Technology landscape has also been undergoing a significant metamorphosis itself. We have witnessed the emergence of event technology across different categories, formats and purposes, not only to make event planners' jobs easier and more seamless, but also to redefine event expectations and bring attendee experience to new heights. It is only the beginning. As event planners constantly seek means to bring new, bold and unique elements into each of their creations, the state of event technology would continue to evolve to help deepen attendee engagement, spark inspiration and drive creativity in the industry. CONTACT US For further enquiries regarding the event, please email Aaron at aaron.khoo@avenevv.com or Vien at vien.le@avenevv.com."
https://www.eventbrite.sg/e/reach-for-the-stars-by-je-dance-academy-saturday-show-tickets-61756636763?aff=ebdssbdestsearch,"""Reach for the Stars"" by JE Dance Academy (Saturday Show)","Gateway Theatre, Singapore","Sat, Jun 22, 6:00pm","TICKETS FOR SATURDAY, 22 JUNE PERFORMANCE ""Reach for the Stars"" features music from five of the best known artists from the 70s to the early 2000s. Come join the 270 dancers from the brand new pre school group all the way to the Advanced grades as they celebrate some of the most well loved tunes of all time. Tickets are sold in 4 different categories: As a courtsey to all, please refrain from leaving gaps in the seats while selecting your seat. Please note that we reserve the right to transfer your seats to fill available gaps. CAT A - Yellow section, $45 (Level 1) CAT B - Orange section, $35 (Level 1) CAT C - Pink section, $25 (Level 3) Restricted View* - Blue section, $25 (Level 3) *Even though the Restricted View is closer to the stage, the glass panel fixed for safety purposes may impair views of the stage. If unsure, please visit http://theatre.gateway.sg/spaces/theatre to see images of the glass panels being referred to. FAQs Who needs a ticket? Infants and toddlers under the age of 2 do not require a ticket - this means everyone else attending the show would require a ticket of their own. Booster seats are available upon request at the theatre. What are my transport / parking options for getting to and from the event? All the detailed information can be found on Gateway Theatre's website: http://theatre.gateway.sg/visitors-guide/getting-here-parking Do I have to bring my printed ticket to the event? Printing your ticket is not required. Your e-ticket, available via your mobile device is sufficient. Please note items such as food, drinks, flowers and balloons ARE NOT ALLOWED to be brought into the theatre and must be left outside."
